Record Date,Appointments Completed,Barangay,Source,Notes
2020-01-15,8,Gredu (Poblacion),CHO Manual Records,Q1 2020 - Limited awareness
2020-02-15,6,New Malaga (Dalisay),CHO Manual Records,Q1 2020 - Pre-pandemic
2020-03-15,10,Cacao,CHO Manual Records,Q1 2020 - COVID begins
2020-04-15,4,Consolacion,CHO Manual Records,Q2 2020 - Lockdown impact
2020-05-15,3,Kasilak,CHO Manual Records,Q2 2020 - Minimal operations
2020-06-15,5,J.P. Laurel,CHO Manual Records,Q2 2020 - Gradual reopening
2020-07-15,8,Salvacion,CHO Manual Records,Q3 2020 - Recovery phase
2020-08-15,9,San Pedro,CHO Manual Records,Q3 2020 - Testing resumes
2020-09-15,11,San Francisco (Pob.),CHO Manual Records,Q3 2020 - Outreach programs
2020-10-15,10,A.O. Floirendo,DOH Regional Data,Q4 2020 - Increased awareness
2020-11-15,9,New Pandan (Pob.),CHO Manual Records,Q4 2020 - Year-end push
2020-12-15,7,Santo Niño (Pob.),CHO Manual Records,Q4 2020 - Holiday slowdown
2021-01-15,9,Gredu (Poblacion),CHO Manual Records,Q1 2021 - New year batch
2021-02-15,7,New Malaga (Dalisay),CHO Manual Records,Q1 2021 - Steady operations
2021-03-15,11,Cacao,CHO Manual Records,Q1 2021 - Vaccination period
2021-04-15,13,Consolacion,CHO Manual Records,Q2 2021 - Increased testing
2021-05-15,10,Kasilak,CHO Manual Records,Q2 2021 - Outreach expansion
2021-06-15,15,J.P. Laurel,DOH Regional Data,Q2 2021 - Community campaigns
2021-07-15,17,Salvacion,CHO Manual Records,Q3 2021 - Peak season
2021-08-15,16,San Pedro,CHO Manual Records,Q3 2021 - High demand
2021-09-15,14,San Francisco (Pob.),CHO Manual Records,Q3 2021 - Stabilizing
2021-10-15,12,A.O. Floirendo,CHO Manual Records,Q4 2021 - Pre-holiday
2021-11-15,10,New Pandan (Pob.),CHO Manual Records,Q4 2021 - Year-end batch
2021-12-15,8,Santo Niño (Pob.),CHO Manual Records,Q4 2021 - Holiday period
2022-01-15,10,Gredu (Poblacion),CHO Manual Records,Q1 2022 - New year
2022-02-15,8,New Malaga (Dalisay),CHO Manual Records,Q1 2022 - Standard ops
2022-03-15,12,Cacao,CHO Manual Records,Q1 2022 - End of restrictions
2022-04-15,14,Consolacion,CHO Manual Records,Q2 2022 - Full reopening
2022-05-15,11,Kasilak,DOH Regional Data,Q2 2022 - Growing awareness
2022-06-15,16,J.P. Laurel,CHO Manual Records,Q2 2022 - Pride month campaigns
2022-07-15,18,Salvacion,CHO Manual Records,Q3 2022 - Peak testing
2022-08-15,17,San Pedro,CHO Manual Records,Q3 2022 - High demand
2022-09-15,15,San Francisco (Pob.),CHO Manual Records,Q3 2022 - Stabilizing
2022-10-15,13,A.O. Floirendo,CHO Manual Records,Q4 2022 - Pre-holiday
2022-11-15,11,New Pandan (Pob.),CHO Manual Records,Q4 2022 - Year-end
2022-12-15,9,Santo Niño (Pob.),CHO Manual Records,Q4 2022 - Holiday period
2023-01-15,11,Gredu (Poblacion),CHO Manual Records,Q1 2023 - New year
2023-02-15,9,New Malaga (Dalisay),CHO Manual Records,Q1 2023 - Standard month
2023-03-15,13,Cacao,CHO Manual Records,Q1 2023 - Growing demand
2023-04-15,15,Consolacion,CHO Manual Records,Q2 2023 - Increased awareness
2023-05-15,12,Kasilak,DOH Regional Data,Q2 2023 - Outreach programs
2023-06-15,17,J.P. Laurel,CHO Manual Records,Q2 2023 - Pride month
2023-07-15,19,Salvacion,CHO Manual Records,Q3 2023 - Highest month
2023-08-15,18,San Pedro,CHO Manual Records,Q3 2023 - High demand
2023-09-15,16,San Francisco (Pob.),CHO Manual Records,Q3 2023 - Stabilizing
2023-10-15,14,A.O. Floirendo,CHO Manual Records,Q4 2023 - Pre-holiday
2023-11-15,12,New Pandan (Pob.),CHO Manual Records,Q4 2023 - Year-end
2023-12-15,10,Santo Niño (Pob.),CHO Manual Records,Q4 2023 - Holiday period
2024-01-15,12,Gredu (Poblacion),CHO Manual Records,Q1 2024 - New year
2024-02-15,10,New Malaga (Dalisay),CHO Manual Records,Q1 2024 - Standard month
2024-03-15,14,Cacao,CHO Manual Records,Q1 2024 - End of quarter
2024-04-15,16,Consolacion,CHO Manual Records,Q2 2024 - Spring peak
2024-05-15,13,Kasilak,DOH Regional Data,Q2 2024 - Outreach programs
2024-06-15,18,J.P. Laurel,CHO Manual Records,Q2 2024 - Pride month
2024-07-15,20,Salvacion,CHO Manual Records,Q3 2024 - Highest month
2024-08-15,19,San Pedro,CHO Manual Records,Q3 2024 - High demand
2024-09-15,17,San Francisco (Pob.),CHO Manual Records,Q3 2024 - Stabilizing
2024-10-15,15,A.O. Floirendo,CHO Manual Records,Q4 2024 - Pre-holiday
2024-11-15,13,New Pandan (Pob.),CHO Manual Records,Q4 2024 - Year-end
2024-12-15,11,Santo Niño (Pob.),CHO Manual Records,Q4 2024 - Holiday period
2025-01-15,13,Gredu (Poblacion),CHO Manual Records,Q1 2025 - New year processing
